#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         361     2.61512     2.61465 3.28376e-05
         362     2.61514     2.61465 3.27748e-05
         363     2.61516     2.61465 3.27147e-05
         364     2.61519     2.61465 3.26587e-05
         365     2.61522     2.61465 3.26068e-05
         366     2.61526     2.61465 3.25594e-05
         367     2.61529     2.61466 3.25169e-05
         368     2.61532     2.61466  3.2479e-05
         369     2.61536     2.61466 3.24468e-05
         370      2.6154     2.61466 3.24211e-05
         371     2.61543     2.61466 3.24006e-05
         372     2.61547     2.61467 3.23869e-05
         373     2.61551     2.61467 3.23789e-05
         374     2.61555     2.61467 3.23772e-05
         375     2.61559     2.61467 3.23831e-05
         376     2.61562     2.61467 3.23956e-05
         377     2.61566     2.61468  3.2416e-05
         378      2.6157     2.61468 3.24431e-05
         379     2.61574     2.61468 3.24776e-05
         380     2.61577     2.61469 3.25188e-05
         381     2.61581     2.61469 3.25677e-05
         382     2.61585     2.61469 3.26235e-05
         383     2.61588     2.61469 3.26868e-05
         384     2.61592      2.6147 3.27571e-05
         385     2.61595      2.6147 3.28338e-05
         386     2.61598      2.6147 3.29158e-05
         387     2.61601     2.61471 3.30041e-05
         388     2.61604     2.61471 3.30977e-05
         389     2.61607     2.61471 3.31963e-05
         390      2.6161     2.61472 3.32995e-05
         391     2.61612     2.61472  3.3407e-05
         392     2.61615     2.61473 3.35193e-05
         393     2.61617     2.61473 3.36351e-05
         394      2.6162     2.61473 3.37557e-05
         395     2.61622     2.61474 3.38799e-05
         396     2.61624     2.61474 3.40068e-05
         397     2.61626     2.61474 3.41361e-05
         398     2.61628     2.61475 3.42673e-05
         399      2.6163     2.61475 3.44001e-05
         400     2.61631     2.61476 3.45346e-05
         401     2.61633     2.61476 3.46697e-05
         402     2.61634     2.61476 3.48054e-05
         403     2.61635     2.61477 3.49397e-05
         404     2.61635     2.61477 3.50716e-05
         405     2.61635     2.61478  3.5201e-05
         406     2.61635     2.61478 3.53268e-05
         407     2.61634     2.61478 3.54472e-05
         408     2.61633     2.61479 3.55633e-05
         409     2.61631     2.61479 3.56719e-05
         410     2.61629     2.61479 3.57714e-05
         411     2.61626      2.6148 3.58611e-05
         412     2.61621      2.6148 3.59376e-05
         413     2.61616      2.6148 3.60009e-05
         414      2.6161     2.61481 3.60501e-05
         415     2.61603     2.61481 3.60837e-05
         416     2.61595     2.61481 3.61011e-05
         417     2.61586     2.61482 3.61012e-05
         418     2.61576     2.61482 3.60852e-05
         419     2.61565     2.61482 3.60532e-05
         420     2.61552     2.61482 3.60064e-05
         421      2.6154     2.61482 3.59472e-05
         422     2.61527     2.61482 3.58773e-05
         423     2.61512     2.61483 3.57994e-05
         424     2.61498     2.61483 3.57168e-05
         425     2.61483     2.61483 3.56328e-05
         426     2.61468     2.61483 3.55509e-05
         427     2.61453     2.61482 3.54745e-05
         428     2.61437     2.61482 3.54075e-05
         429     2.61422     2.61482 3.53531e-05
         430     2.61407     2.61482 3.53141e-05
         431     2.61393     2.61482 3.52928e-05
         432      2.6138     2.61482 3.52904e-05
         433     2.61367     2.61481 3.53075e-05
         434     2.61355     2.61481  3.5345e-05
         435     2.61344     2.61481  3.5403e-05
         436     2.61335      2.6148  3.5479e-05
         437     2.61327      2.6148 3.55712e-05
         438      2.6132      2.6148 3.56778e-05
         439     2.61314     2.61479 3.57957e-05
         440     2.61308     2.61479 3.59244e-05
         441     2.61304     2.61479   3.606e-05
         442     2.61301     2.61478 3.62008e-05
         443     2.61299     2.61478  3.6345e-05
         444     2.61298     2.61477 3.64887e-05
         445     2.61297     2.61477 3.66311e-05
         446     2.61297     2.61476  3.6771e-05
         447     2.61297     2.61476 3.69072e-05
