# Generation Best_Length AvgBestHalf
1019 66.9208 70.684
1020 66.9208 70.6617
1021 66.9208 70.6617
1022 66.9208 70.6617
1023 66.9208 70.6617
1024 66.9208 70.6617
1025 66.9208 70.6617
1026 66.9208 70.6628
1027 66.9208 70.6633
1028 66.9208 70.6617
1029 66.9208 70.6617
1030 66.9208 70.6617
1031 66.8585 70.6617
1032 66.8585 70.6593
1033 66.8585 70.6564
1034 66.8585 70.656
1035 66.8585 70.656
1036 66.8585 70.656
1037 66.8585 70.656
1038 66.8585 70.656
1039 66.8585 70.656
1040 66.8585 70.656
1041 66.8585 70.656
1042 66.8585 70.656
1043 66.8585 70.656
1044 66.3358 70.6558
1045 66.3358 70.6408
1046 66.3358 70.6116
1047 66.3358 70.6085
1048 66.3358 70.6085
1049 66.3358 70.6085
1050 66.3358 70.6085
1051 66.3358 70.6085
1052 66.3358 70.6085
1053 66.3358 70.6085
1054 66.3358 70.6085
1055 66.3358 70.6085
1056 66.3358 70.6085
1057 66.3358 70.6085
1058 66.3358 70.6085
1059 66.3358 70.6085
1060 66.3358 70.6085
1061 66.3358 70.6085
1062 66.3358 70.6085
1063 66.3358 70.6085
1064 66.3358 70.6085
1065 66.3358 70.6084
1066 66.3358 70.5973
1067 66.3358 70.5728
1068 66.3358 70.5584
1069 66.3358 70.5584
1070 66.3358 70.5584
1071 66.3358 70.5584
1072 66.3358 70.5584
1073 66.3358 70.5584
1074 66.3358 70.5584
1075 66.3358 70.5584
1076 66.3358 70.5584
1077 66.3358 70.5584
1078 66.3358 70.5584
1079 66.3358 70.5584
1080 66.3358 70.5584
1081 66.3358 70.5584
1082 66.3358 70.5584
1083 66.3358 70.5584
1084 66.3358 70.5584
1085 66.3358 70.5584
1086 66.3358 70.5584
1087 66.3358 70.5584
1088 66.3358 70.5584
1089 66.3358 70.5584
1090 66.3358 70.5584
1091 66.3358 70.5584
1092 66.3358 70.5584
1093 66.3358 70.5584
1094 66.3358 70.5584
1095 66.3358 70.5584
1096 66.3358 70.5584
1097 66.3358 70.5584
1098 66.3358 70.5583
1099 66.3358 70.5521
1100 66.3358 70.5418
1101 66.3358 70.5411
1102 66.3358 70.5411
1103 66.3358 70.541
1104 66.3358 70.5349
1105 66.3358 70.5174
1106 66.3358 70.5147
1107 66.3358 70.5139
1108 66.3358 70.5139
1109 66.3358 70.5139
1110 66.3358 70.5139
1111 66.3358 70.5139
1112 66.3358 70.5139
1113 66.3358 70.5139
1114 66.3358 70.5139
1115 66.3358 70.5139
1116 66.3358 70.5139
1117 66.3358 70.5139
1118 66.3358 70.5139
1119 66.3358 70.5139
1120 66.3358 70.5139
1121 66.3358 70.5139
1122 66.3358 70.5139
1123 66.3358 70.5139
1124 66.3358 70.5139
1125 66.3358 70.5139
1126 66.3358 70.5139
1127 66.3358 70.5139
1128 66.3358 70.5139
1129 66.3358 70.5139
1130 66.3358 70.5139
1131 66.3358 70.5139
1132 66.3358 70.5139
1133 66.3358 70.5139
1134 66.3358 70.5139
1135 66.3358 70.5139
1136 66.3358 70.5139
1137 66.3358 70.5139
1138 66.3358 70.5139
1139 66.3358 70.5139
1140 66.3358 70.5139
1141 66.3358 70.5139
1142 66.3358 70.5139
1143 66.3358 70.5139
1144 66.3358 70.5139
1145 66.3358 70.5139
