#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         562     1.92821     1.96131 0.000940841
         563     1.92754     1.96125 0.000941079
         564     1.92691     1.96118 0.000941377
         565     1.92633     1.96112  0.00094173
         566     1.92579     1.96106 0.000942133
         567     1.92529       1.961 0.000942581
         568     1.92484     1.96093 0.000943069
         569     1.92443     1.96087  0.00094359
         570     1.92407      1.9608 0.000944141
         571     1.92376     1.96074 0.000944714
         572     1.92349     1.96067 0.000945304
         573     1.92327     1.96061 0.000945905
         574     1.92309     1.96054 0.000946514
         575     1.92295     1.96048 0.000947122
         576     1.92286     1.96041 0.000947727
         577     1.92281     1.96035 0.000948323
         578      1.9228     1.96028 0.000948905
         579     1.92283     1.96022 0.000949468
         580      1.9229     1.96015 0.000950008
         581     1.92302     1.96009 0.000950521
         582     1.92318     1.96003 0.000951001
         583     1.92337     1.95996 0.000951446
         584     1.92362      1.9599  0.00095185
         585      1.9239     1.95984 0.000952211
         586     1.92423     1.95978 0.000952522
         587     1.92461     1.95972 0.000952782
         588     1.92503     1.95966 0.000952986
         589     1.92551      1.9596  0.00095313
         590     1.92603     1.95955 0.000953212
         591     1.92661     1.95949 0.000953227
         592     1.92724     1.95944 0.000953172
         593     1.92791     1.95938 0.000953046
         594     1.92865     1.95933 0.000952845
         595     1.92943     1.95928 0.000952568
         596     1.93026     1.95923 0.000952213
         597     1.93114     1.95918  0.00095178
         598     1.93207     1.95914 0.000951268
         599     1.93304      1.9591 0.000950676
         600     1.93406     1.95905 0.000950007
         601     1.93511     1.95901 0.000949262
         602     1.93619     1.95898 0.000948441
         603     1.93731     1.95894 0.000947549
         604     1.93845     1.95891 0.000946587
         605     1.93961     1.95887  0.00094556
         606     1.94078     1.95884 0.000944471
         607     1.94196     1.95882 0.000943324
         608     1.94315     1.95879 0.000942125
         609     1.94434     1.95877 0.000940876
         610     1.94552     1.95875 0.000939585
         611     1.94669     1.95873 0.000938254
         612     1.94785     1.95871 0.000936889
         613     1.94898     1.95869 0.000935495
         614      1.9501     1.95868 0.000934076
         615     1.95118     1.95867 0.000932637
         616     1.95224     1.95866 0.000931182
         617     1.95326     1.95865 0.000929713
         618     1.95425     1.95864 0.000928236
         619      1.9552     1.95863 0.000926753
         620     1.95611     1.95863 0.000925267
         621     1.95698     1.95863 0.000923781
         622      1.9578     1.95863 0.000922297
         623     1.95859     1.95863 0.000920817
         624     1.95933     1.95863 0.000919342
         625     1.96002     1.95863 0.000917873
         626     1.96067     1.95863 0.000916413
         627     1.96128     1.95864 0.000914961
         628     1.96185     1.95864 0.000913519
         629     1.96237     1.95865 0.000912085
         630     1.96285     1.95865 0.000910662
         631     1.96328     1.95866 0.000909248
         632     1.96368     1.95867 0.000907844
         633     1.96404     1.95868  0.00090645
         634     1.96436     1.95869 0.000905064
         635     1.96464      1.9587 0.000903687
         636     1.96488     1.95871 0.000902319
         637     1.96509     1.95872 0.000900958
         638     1.96526     1.95873 0.000899604
         639      1.9654     1.95874 0.000898257
         640     1.96551     1.95875 0.000896916
         641     1.96558     1.95876  0.00089558
         642     1.96563     1.95877 0.000894249
         643     1.96565     1.95878 0.000892922
         644     1.96564     1.95879 0.000891599
         645      1.9656      1.9588 0.000890279
         646     1.96554     1.95881 0.000888962
         647     1.96545     1.95882 0.000887647
         648     1.96533     1.95883 0.000886335
         649      1.9652     1.95884 0.000885023
         650     1.96504     1.95885 0.000883713
         651     1.96485     1.95886 0.000882404
         652     1.96465     1.95887 0.000881095
         653     1.96442     1.95888 0.000879787
         654     1.96417     1.95889 0.000878479
