#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         482   -0.380821   -0.358484  0.00127798
         483   -0.381705   -0.358532  0.00127624
         484   -0.382544   -0.358582  0.00127457
         485   -0.383343   -0.358633  0.00127296
         486    -0.38408   -0.358685  0.00127142
         487   -0.384778   -0.358739  0.00126993
         488   -0.385423   -0.358793  0.00126851
         489   -0.386011   -0.358849  0.00126714
         490   -0.386545   -0.358905  0.00126581
         491   -0.387015   -0.358963  0.00126453
         492   -0.387428   -0.359021  0.00126328
         493    -0.38778   -0.359079  0.00126206
         494   -0.388067   -0.359138  0.00126087
         495   -0.388297   -0.359196   0.0012597
         496   -0.388461   -0.359255  0.00125854
         497   -0.388565   -0.359314  0.00125739
         498   -0.388602   -0.359373  0.00125624
         499    -0.38858   -0.359432  0.00125508
         500   -0.388498    -0.35949  0.00125392
         501   -0.388356   -0.359548  0.00125274
         502   -0.388157   -0.359605  0.00125154
         503   -0.387908   -0.359661  0.00125032
         504   -0.387606   -0.359716  0.00124906
         505   -0.387256   -0.359771  0.00124778
         506   -0.386863   -0.359824  0.00124646
         507   -0.386435   -0.359877  0.00124511
         508    -0.38596   -0.359928  0.00124372
         509   -0.385456   -0.359978  0.00124228
         510   -0.384926   -0.360027  0.00124081
         511    -0.38437   -0.360075   0.0012393
         512   -0.383797   -0.360121  0.00123774
         513   -0.383215   -0.360166  0.00123615
         514   -0.382626    -0.36021  0.00123451
         515    -0.38204   -0.360252  0.00123284
         516   -0.381455   -0.360293  0.00123114
         517   -0.380883   -0.360333   0.0012294
         518   -0.380326   -0.360372  0.00122763
         519   -0.379794   -0.360409  0.00122584
         520    -0.37929   -0.360446  0.00122402
         521   -0.378815   -0.360481  0.00122218
         522   -0.378376   -0.360515  0.00122032
         523   -0.377973   -0.360548  0.00121844
         524   -0.377611   -0.360581  0.00121655
         525   -0.377296   -0.360613  0.00121465
         526   -0.377031   -0.360644  0.00121274
         527   -0.376817   -0.360675  0.00121083
         528   -0.376648   -0.360705  0.00120891
         529   -0.376529   -0.360735    0.001207
         530   -0.376455   -0.360765  0.00120508
         531   -0.376422   -0.360794  0.00120318
         532    -0.37644   -0.360824  0.00120127
         533   -0.376502   -0.360853  0.00119938
         534   -0.376601   -0.360882   0.0011975
         535   -0.376727   -0.360912  0.00119562
         536   -0.376889   -0.360942  0.00119377
         537   -0.377071   -0.360972  0.00119192
         538   -0.377274   -0.361002  0.00119009
         539   -0.377493   -0.361033  0.00118827
         540   -0.377722   -0.361064  0.00118648
         541   -0.377953   -0.361095  0.00118469
         542   -0.378183   -0.361126  0.00118293
         543   -0.378409   -0.361158  0.00118118
         544   -0.378622    -0.36119  0.00117944
         545   -0.378817   -0.361223  0.00117772
         546   -0.378993   -0.361255  0.00117601
         547   -0.379142   -0.361288  0.00117432
         548   -0.379258   -0.361321  0.00117263
         549   -0.379344   -0.361354  0.00117096
         550   -0.379393   -0.361386  0.00116929
         551   -0.379406   -0.361419  0.00116762
         552   -0.379373   -0.361452  0.00116596
         553   -0.379294   -0.361484   0.0011643
         554    -0.37917   -0.361516  0.00116263
         555   -0.378996   -0.361547  0.00116097
         556   -0.378773   -0.361578  0.00115929
         557   -0.378497   -0.361609  0.00115761
         558   -0.378174   -0.361638  0.00115591
         559   -0.377792   -0.361667  0.00115421
         560   -0.377357   -0.361695  0.00115249
         561   -0.376872   -0.361722  0.00115075
         562   -0.376328   -0.361748  0.00114899
         563   -0.375735   -0.361773  0.00114722
         564   -0.375087   -0.361797  0.00114543
         565   -0.374386   -0.361819  0.00114362
         566   -0.373629    -0.36184  0.00114179
         567   -0.372818   -0.361859  0.00113994
         568   -0.371959   -0.361877  0.00113807
         569   -0.371049   -0.361893  0.00113619
         570   -0.370095   -0.361908  0.00113428
         571   -0.369099    -0.36192  0.00113237
         572   -0.368056   -0.361931  0.00113044
         573   -0.366964    -0.36194   0.0011285
         574   -0.365845   -0.361946  0.00112655
         575   -0.364686   -0.361951  0.00112461
         576   -0.363498   -0.361954  0.00112266
         577   -0.362283   -0.361954  0.00112071
         578    -0.36105   -0.361953  0.00111877
         579     -0.3598   -0.361949  0.00111685
         580   -0.358542   -0.361943  0.00111494
         581   -0.357274   -0.361935  0.00111305
         582   -0.356007   -0.361925  0.00111118
         583   -0.354743   -0.361913  0.00110934
         584   -0.353502   -0.361898  0.00110754
         585   -0.352266   -0.361882  0.00110577
