#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         457   -0.299718   -0.333605   0.0015802
         458   -0.300007   -0.333532  0.00157845
         459   -0.300245    -0.33346  0.00157667
         460   -0.300428   -0.333388  0.00157488
         461    -0.30056   -0.333317  0.00157307
         462   -0.300628   -0.333246  0.00157126
         463    -0.30064   -0.333175  0.00156944
         464   -0.300597   -0.333105  0.00156763
         465   -0.300504   -0.333035  0.00156583
         466   -0.300354   -0.332965  0.00156404
         467    -0.30016   -0.332895  0.00156226
         468   -0.299922   -0.332824  0.00156051
         469   -0.299649   -0.332754  0.00155879
         470   -0.299343   -0.332682  0.00155709
         471   -0.299016   -0.332611  0.00155543
         472   -0.298666   -0.332539  0.00155379
         473   -0.298309   -0.332467  0.00155219
         474   -0.297944   -0.332394  0.00155062
         475   -0.297584   -0.332321  0.00154909
         476   -0.297226   -0.332247  0.00154759
         477   -0.296891   -0.332173  0.00154612
         478   -0.296567   -0.332098  0.00154468
         479   -0.296272   -0.332023  0.00154326
         480   -0.296012   -0.331948  0.00154187
         481   -0.295789   -0.331873   0.0015405
         482   -0.295604   -0.331798  0.00153914
         483   -0.295468   -0.331723  0.00153779
         484   -0.295382   -0.331648  0.00153644
         485    -0.29534   -0.331573   0.0015351
         486   -0.295348   -0.331498  0.00153375
         487   -0.295405   -0.331424  0.00153239
         488   -0.295512   -0.331351  0.00153101
         489   -0.295671   -0.331278  0.00152962
         490   -0.295877   -0.331205   0.0015282
         491   -0.296128   -0.331134  0.00152676
         492   -0.296425   -0.331063  0.00152528
         493   -0.296766   -0.330994  0.00152378
         494   -0.297135   -0.330925  0.00152223
         495   -0.297539   -0.330858  0.00152065
         496   -0.297966   -0.330792  0.00151903
         497    -0.29842   -0.330726  0.00151737
         498   -0.298896   -0.330662  0.00151567
         499   -0.299385     -0.3306  0.00151393
         500   -0.299889   -0.330538  0.00151214
         501   -0.300398   -0.330478  0.00151032
         502   -0.300907   -0.330419  0.00150846
         503   -0.301422   -0.330362  0.00150656
         504   -0.301935   -0.330305  0.00150463
         505   -0.302446    -0.33025  0.00150266
         506   -0.302947   -0.330196  0.00150066
         507   -0.303439   -0.330143  0.00149863
         508   -0.303916   -0.330092  0.00149657
         509   -0.304381   -0.330041  0.00149448
         510   -0.304831   -0.329992  0.00149237
         511   -0.305264   -0.329943  0.00149023
         512   -0.305678   -0.329896  0.00148807
         513   -0.306072    -0.32985   0.0014859
         514   -0.306448   -0.329804   0.0014837
         515   -0.306802   -0.329759  0.00148149
         516   -0.307123   -0.329715  0.00147927
         517   -0.307421   -0.329672  0.00147704
         518   -0.307685    -0.32963   0.0014748
         519   -0.307927   -0.329588  0.00147255
         520   -0.308133   -0.329547   0.0014703
         521   -0.308309   -0.329506  0.00146804
         522   -0.308447   -0.329466  0.00146578
         523    -0.30855   -0.329426  0.00146352
         524    -0.30861   -0.329386  0.00146127
         525   -0.308631   -0.329346  0.00145902
         526   -0.308606   -0.329307  0.00145678
         527   -0.308532   -0.329268  0.00145455
         528   -0.308406   -0.329228  0.00145233
         529   -0.308231   -0.329188  0.00145013
         530      -0.308   -0.329148  0.00144794
         531   -0.307711   -0.329108  0.00144578
         532   -0.307368   -0.329067  0.00144364
         533    -0.30696   -0.329026  0.00144152
         534   -0.306488   -0.328984  0.00143944
         535   -0.305959   -0.328941   0.0014374
         536   -0.305361   -0.328897  0.00143539
         537     -0.3047   -0.328851  0.00143342
         538   -0.303975   -0.328805   0.0014315
         539   -0.303186   -0.328758  0.00142964
         540   -0.302342   -0.328709  0.00142782
         541   -0.301434   -0.328658  0.00142608
         542   -0.300468   -0.328606  0.00142439
         543   -0.299445   -0.328553  0.00142278
         544   -0.298376   -0.328497  0.00142125
         545   -0.297259    -0.32844  0.00141979
         546   -0.296105   -0.328381  0.00141843
         547   -0.294907   -0.328319  0.00141715
         548    -0.29368   -0.328256  0.00141598
         549   -0.292426   -0.328191   0.0014149
         550   -0.291152   -0.328124  0.00141393
         551   -0.289864   -0.328054  0.00141307
         552   -0.288572   -0.327983  0.00141232
         553   -0.287275   -0.327909  0.00141168
         554   -0.285985   -0.327833  0.00141116
         555   -0.284712   -0.327756  0.00141075
         556   -0.283457   -0.327676  0.00141047
         557   -0.282228   -0.327594  0.00141029
         558   -0.281033   -0.327511  0.00141023
         559   -0.279888   -0.327426  0.00141028
         560   -0.278777   -0.327339  0.00141043
         561   -0.277722    -0.32725  0.00141069
         562   -0.276727   -0.327161  0.00141104
         563   -0.275785   -0.327069  0.00141148
         564   -0.274909   -0.326977  0.00141201
         565   -0.274099   -0.326883   0.0014126
         566   -0.273353   -0.326789  0.00141327
         567   -0.272675   -0.326693    0.001414
         568   -0.272069   -0.326597  0.00141478
         569   -0.271527     -0.3265   0.0014156
         570   -0.271056   -0.326403  0.00141645
         571   -0.270654   -0.326305  0.00141733
         572   -0.270321   -0.326207  0.00141823
         573   -0.270052   -0.326109  0.00141913
         574   -0.269846   -0.326011  0.00142004
         575   -0.269704   -0.325914  0.00142095
         576   -0.269628   -0.325816  0.00142184
         577   -0.269619   -0.325718   0.0014227
         578   -0.269665   -0.325621  0.00142354
         579   -0.269775   -0.325525  0.00142435
         580   -0.269942   -0.325429  0.00142511
         581   -0.270176   -0.325334  0.00142583
         582   -0.270471    -0.32524  0.00142649
         583   -0.270833   -0.325146  0.00142709
         584   -0.271259   -0.325054  0.00142763
         585    -0.27176   -0.324963  0.00142809
         586   -0.272321   -0.324873  0.00142848
         587   -0.272961   -0.324785  0.00142878
         588   -0.273677   -0.324698  0.00142899
         589   -0.274464   -0.324613  0.00142911
         590   -0.275327   -0.324529  0.00142913
         591   -0.276267   -0.324447  0.00142904
         592   -0.277286   -0.324368  0.00142884
         593   -0.278378    -0.32429  0.00142854
         594   -0.279552   -0.324215  0.00142812
         595   -0.280801   -0.324142  0.00142758
         596   -0.282129   -0.324071  0.00142692
         597   -0.283517   -0.324003  0.00142615
         598   -0.284974   -0.323938  0.00142526
         599   -0.286495   -0.323876  0.00142425
         600   -0.288077   -0.323816  0.00142312
         601   -0.289703   -0.323759  0.00142189
         602    -0.29137   -0.323705  0.00142054
         603   -0.293082   -0.323655  0.00141909
         604    -0.29482   -0.323607  0.00141755
         605   -0.296581   -0.323562  0.00141591
         606   -0.298349   -0.323521  0.00141418
         607   -0.300128   -0.323482  0.00141238
         608   -0.301909   -0.323447   0.0014105
         609   -0.303681   -0.323414  0.00140856
         610    -0.30544   -0.323385  0.00140656
         611   -0.307167   -0.323358  0.00140451
         612   -0.308874   -0.323335  0.00140241
         613   -0.310547   -0.323314  0.00140028
         614   -0.312172   -0.323296  0.00139811
         615   -0.313756    -0.32328  0.00139593
         616   -0.315291   -0.323267  0.00139372
         617    -0.31677   -0.323257   0.0013915
         618    -0.31819   -0.323248  0.00138927
         619   -0.319553   -0.323242  0.00138704
         620   -0.320856   -0.323238  0.00138481
         621   -0.322103   -0.323237  0.00138258
         622   -0.323281   -0.323237  0.00138036
         623   -0.324395   -0.323239  0.00137815
         624   -0.325439   -0.323242  0.00137594
         625   -0.326421   -0.323247  0.00137375
         626   -0.327333   -0.323254  0.00137157
         627   -0.328179   -0.323262   0.0013694
         628   -0.328959   -0.323271  0.00136725
         629    -0.32967   -0.323281  0.00136512
         630   -0.330321   -0.323292    0.001363
         631   -0.330915   -0.323304  0.00136089
         632    -0.33145   -0.323317   0.0013588
         633   -0.331922   -0.323331  0.00135672
         634    -0.33234   -0.323345  0.00135465
         635   -0.332705    -0.32336   0.0013526
         636   -0.333019   -0.323375  0.00135056
         637   -0.333279    -0.32339  0.00134853
         638   -0.333489   -0.323406  0.00134651
         639   -0.333648   -0.323422   0.0013445
         640   -0.333761   -0.323438  0.00134249
         641    -0.33383   -0.323454   0.0013405
         642   -0.333854   -0.323471  0.00133851
         643   -0.333836   -0.323487  0.00133652
         644   -0.333792   -0.323503  0.00133454
         645   -0.333696   -0.323519  0.00133257
         646   -0.333562   -0.323534  0.00133059
         647   -0.333394   -0.323549  0.00132863
         648   -0.333188   -0.323564  0.00132666
         649   -0.332947   -0.323579  0.00132469
         650   -0.332672   -0.323593  0.00132273
         651   -0.332366   -0.323606  0.00132077
         652   -0.332029   -0.323619   0.0013188
         653   -0.331655   -0.323631  0.00131684
         654   -0.331252   -0.323643  0.00131488
         655   -0.330821   -0.323654  0.00131292
         656   -0.330357   -0.323664  0.00131096
         657   -0.329864   -0.323674  0.00130899
         658    -0.32934   -0.323682  0.00130703
         659   -0.328787    -0.32369  0.00130507
